,0\O 
0\O ,"\O The\Eng most\Eng important\Eng thing\Eng you\Eng will\Eng do\Eng today\Eng is\Eng #\O staysafe\Eng #\O Mumbai\Eng .\O Listen\Hin=लिसन to\Eng what\Eng we\Eng are\Eng saying\Eng ,\O make\Eng informed\Eng decisi\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O xGP1m3dsuT\Eng "\O 
1\O ,\O The\Eng CPRO\Eng Westeren\Eng Railway\Eng with\Eng us\Hin=उस NOW\Hin=नो !\O Tune\Hin=धुने in\Hin=इन .\O He\Eng says\Eng no\Eng services\Eng from\Eng BAndra\Hin=बंद्र to\Hin=तू Goregaon\Eng and\Eng vice\Eng Versa\Hin=बरसा .\O He\Hin=ही sa\Hin=सा …\O https\Eng ://\O t\Eng .\O co\Eng /\O mBQ57w47IR\Eng 
2\O ,"\O How\Eng ’\O s\Eng the\Eng morning\Eng looking\Eng ,\O my\Eng favourite\Eng city\Eng ?\O You\Hin=यूं wanna\Hin=वाना talk\Eng about\Eng it\Eng ?\O Perhaps\Eng sing\Eng about\Eng it\Eng ?\O Call\Hin=कॉल me\Hin=मे on\Eng 66935935…\O https\Eng ://\O t\Eng .\O co\Eng /\O yeGc5DqNGl\Eng "\O 
3\O ,"\O RT\Eng @\O RedFMIndia\Eng :\O #\O IshaanKhattar\Hin=इशाँखतर &\O amp\Hin=अम्प ;\O #\O JanhviKapoor\Hin=जान्ह्विकपूर reveal\Eng their\Eng first\Eng crush\Eng on\Eng Slambook\Eng With\Eng @\O mymalishka\Hin=मीनलिश्का 

#\O DhadakatRedFM\Hin=धड़कात्रेद्फ्म @\O DharmaMovies\Eng @\O ZeeMusi\Eng …"\O 
4\O ,\O Omg\Eng !\O #\O France\Eng !\O Je\Eng t\Eng ’\O aime\Eng But\Eng #\O Argentina\Eng is\Eng it\Eng adieu\Eng already\Eng ???\O 😳#\O FranciaArgentina\Eng #\O FifaWorldCup2018\Eng 
5\O ,\O Behen\Hin=बहन !\O Behen\Eng !\O #\O represent\Eng !\O Super\Eng and\Eng real\Eng .\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 2wRHxEqVFH\Eng 
6\O ,"\O RT\Eng @\O DelhiDecoded\Eng :\O German\Eng Shepherd\Eng dog\Eng found\Eng in\Eng Vasant\Eng Kunj\Hin=कुंज ,\O New\Eng Delhi\Eng needs\Eng a\Eng loving\Eng home\Eng .\O He\Eng had\Eng a\Eng red\Eng ,\O worn\Eng out\Eng collar\Eng and\Eng looked\Eng in\Eng sobe\Eng …"\O 
7\O ,\O The\Eng ‘\O let\Eng ’\O s\Eng rehearse\Eng for\Eng when\Eng there\Eng ’\O s\Eng birthday\Eng cake\Eng on\Eng your\Eng face\Eng ’\O Move\Hin=मूव .\O Happy\Hin=हैप्पी Birthday\Eng @\O arjunk26\Eng .\O Thanks\Eng for\Eng that\Eng ad\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O k0JEpHLA3a\Eng 
8\O ,#\O IIFAAwards\Eng happening\Eng now\Eng !\O Catch\Eng some\Eng of\Eng the\Eng messsss\Eng on\Eng my\Eng insta\Eng ;)\EMT mymalishka\Hin=मीनलिश्का #\O RanbirKapoor\Hin=रणविर्कपूर #\O rekha\Hin=रेखा @\O konkonas\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 0uKzrydX08\Eng 
9\O ,\O It\Hin=इट ’\O s\Eng raining\Eng Awards\Eng !!\O Tonight\Eng the\Eng #\O GoldAwards\Eng watch\Eng us\Hin=उस take\Eng that\Eng carpet\Eng by\Eng storm\Eng !\O https\Eng ://\O t\Eng .\O co\Eng /\O Uh8WvrSu48\Eng 
10\O ,\O I\Hin=इ ’\O m\Eng off\Eng ....\O see\Eng you\Eng in\Eng #\O Bangkok\Eng 😎#\O iifa2018\Eng #\O aajaaaja\Hin=आजाआजा Follow\Hin=फॉलो updates\Eng on\Eng insta\Eng :\O mymalishka\Hin=मीनलिश्का .\O https\Eng ://\O t\Eng .\O co\Eng /\O KwVDcnazC7\Eng 
11\O ,\O Geee\Eng thanks\Eng :)\EMT You\Eng ’\O re\Hin=री my\Hin=मी number\Eng 1:)\O https\Eng ://\O t\Eng .\O co\Eng /\O kQRzra4VlI\Hin=क्क़्र्ज़र4व्ली 
