,0\O 
0\O ,"\O Scrolling\Eng ,\O absorbing\Eng ,\O relief\Eng and\Eng tranquil\Eng .\O That\Eng ’\O s\Eng all\Eng the\Eng day\Eng has\Eng been\Eng about\Eng .\O 
📷\O :\O when\Eng the\Eng associate\Eng director\Eng fi\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O j8VhRQYsQ2\Eng "\O 
1\O ,@\O PulkitSamrat\Eng @\O chintskap\Hin=चिंस्कप @\O anubhavsinha\Hin=अनूभावसिंघा @\O BenarasMedia\Hin=बनारास्मीडिया @\O ZeeMusicCompany\Eng @\O DeepakMukut\Eng Thankq\Hin=थन्क्क़ 
2\O ,"\O I\Eng also\Eng don\Eng ’\O t\Hin=त know\Hin=क्नो how\Eng ....\O should\Eng I\Eng give\Hin=गिव u\Eng numbers\Eng of\Eng some\Eng film\Eng makers\Eng to\Eng check\Eng on\Eng that\Eng mystery\Eng ???\O 
With\Eng love\Eng 
Aart\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O NOrKOqpEMh\Hin=नौरकूक्पेम्ह् "\O 
3\O ,\O Whoa\Hin=व्होआ !\O That\Hin=शत ’\O s\Eng some\Eng love\Eng !\O Thank\Eng you\Eng everyone\Eng !\O 🙏🏼\O #\O MulkTeaser\Eng https\Eng ://\O t\Eng .\O co\Eng /\O 8K0bCCMBOf\Eng 
4\O ,"\O And\Hin=एंड on\Eng the\Eng other\Eng hand\Eng ......\O 
Bring\Eng out\Eng your\Hin=यर desi\Eng swag\Eng with\Hin=विद #\O GoodManDiLaaltain\Hin=गूद्मंडिलालतन !\O 
https\Eng ://\O t\Eng .\O co\Hin=को /\O mFTHkUgSxm\Hin=म्फ्थकुग्स्क्ष्म …\O https\Eng ://\O t\Eng .\O co\Eng /\O vr7JAuK4sA\Eng "\O 
5,"मुल्क\O काग़ज़\O पे\O नक़्शे\O की\O लकीरौं\O से\O नहीं\O बँटता\O 
-\O Aarti\Hin=आरती Mohammed\Eng 

#\O MulkTeaser\Eng :\O 
https\Eng ://\O t\Eng .\O co\Eng /\O cg5vwLSGf0\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O LfQ3n0dl7B\Eng "\O 
6\O ,@\O SnehaRajani\Hin=स्नेहरजनी @\O anubhavsinha\Hin=अनूभावसिंघा Arrreeeeee\Hin=अर्र्रीईईए yeh\Hin=यह hui\Hin=हूई na\Eng validation\Eng !\O 
7\O ,"\O And\Hin=एंड here\Eng ’\O s\Eng yours\Eng Truly\Eng !\O #\O Mulk\Eng 3rd\Eng August\Eng 2018\O 
Some\Eng films\Eng are\Eng not\Eng made\Eng just\Eng for\Eng screens\Eng .....\O they\Eng need\Eng to\Eng travel\Eng be\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O S0e6bgjrW1\Eng "\O 
8\O ,\O It\Eng has\Eng begun\Eng !!!!!!!\O 🙏🏼\O https\Eng ://\O t\Eng .\O co\Eng /\O GyXlLGyVKx\Eng 
9\O ,@\O BajpayeeManoj\Hin=बजपायीमानोज @\O anubhavsinha\Hin=अनूभावसिंघा @\O chintskap\Hin=चिंस्कप The\Eng big\Eng question\Eng will\Eng be\Eng ...\O are\Hin=अरे WE\Hin=वी ready\Hin=रेडी for\Eng it\Eng ???😁😁😁😊\O 
