,0\O 
0\O ,\O Gained\Eng 22\O followers\Eng and\Eng lost\Eng 6\O (\O stats\Eng by\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZIgtIQhsJR\Hin=ज़िग्टीक़्स्ज्र )\O 
1\O ,\O Gained\Eng 21\O followers\Eng and\Eng lost\Eng 18\O (\O stats\Eng by\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZIgtIQhsJR\Hin=ज़िग्टीक़्स्ज्र )\O 
2\O ,"\O Good\Hin=गूद morning\Eng guys\Eng .\O 

Just\Hin=जस्ट to\Eng inform\Eng you\Eng that\Eng ,\O I\Eng am\Hin=आम GOING\Hin=गोइन्Mग OFF\Hin=ऑफ TWITTER\Hin=टविअर for\Hin=फॉर TWO\Eng days\Eng .\O 

Till\Eng then\Eng bye\Hin=ब्ये bye\Hin=ब्ये .\O C\Eng you\Eng soon\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O YeIomWvYnL\Hin=येइओमव्व्य्न्ल "\O 
3\O ,"\O My\Eng week\Eng on\Eng Twitter\Eng 🎉:\O 378\O Mentions\Eng ,\O 24\O .\O 2K\Eng Mention\Eng Reach\Eng ,\O 2\O .\O 51K\Eng Likes\Eng ,\O 246\O Retweets\Eng ,\O 65\O New\Eng Followers\Eng .\O See\Eng yours\Eng wit\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O CyUvq4iDDL\Hin=स्युव्क़्4इदी "\O 
4\O ,"\O My\Eng week\Eng on\Eng Twitter\Eng 🎉:\O 378\O Mentions\Eng ,\O 24\O .\O 2K\Eng Mention\Eng Reach\Eng ,\O 2\O .\O 51K\Eng Likes\Eng ,\O 246\O Retweets\Eng ,\O 65\O New\Eng Followers\Eng .\O See\Eng yours\Eng wit\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O ESd0DEZ3gC\Eng "\O 
5\O ,"\O Guys\Eng ,\O it\Eng seems\Eng u\Eng wnt\Hin=व्Mट to\Eng compare\Hin=कंपरे STARDOM\Hin=स्तार्दोम 😎\EMT 

1.\O RANBIR\Eng statistics\Eng 👇\O 
Film\Eng -\O #\O BombayVelvet\Hin=बम्बयवल्वेत 
cast\Eng -\O Avrg\Eng 
Director\Eng -\O BEST\Hin=बेस्ट 
Bu\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O mXa2YYTSy3\Eng "\O 
6\O ,\O Last\Eng 24\O Hours\Eng =\O 18\O Followers\Eng and\Eng 9\O Unfollowers\Eng (\O stats\Eng by\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZIgtIQhsJR\Hin=ज़िग्टीक़्स्ज्र app\Eng )\O 
7\O ,"\O RT\Eng @\O KapilMishra\Hin=कपिलमेशरा _\O IND\Hin=इन्द :\O कोई\O करीना,\O सोनम,\O स्वरा\O 
कोई\O राहुल,\O कोई\O केजरीवाल\O 

पहले\O पूछे\O मजहब\O क्या\O है\O 
फिर\O पूछे\O बिटिया\O का\O हाल\O https\Eng ://\O t\Eng .\O co\Eng /\O zA1MuRmtFt\Eng "\O 
8\O ,\O RT\Eng @\O ippatel\Hin=इप्पटेल :\O केजरी\O द्वारा\O दिल्ली\O के\O पूर्ण\O राज्य\O की\O मांग\O बाबा\O साहब\O की\O विद्वता\O पर\O सवाल\O व\O उनका\O अपमान\O है\O जिसे\O उन्होंने\O कठोरता\O से\O मना\O कर\O दिया\O था…\O 
9\O ,"\O RT\Eng @\O abpnewstv\Hin=अब्पन्यूस्व :\O Watch\Hin=वाच :\O 600\O #\O Pakistani\Eng #\O Hindu\Eng refugees\Eng have\Eng been\Eng living\Eng without\Eng #\O electricity\Eng for\Eng more\Eng than\Eng 20\O days\Eng in\Eng this\Eng #\O Delhi\Eng camp\Eng 

#\O Adar\Hin=आदर …"\O 
