,id,tweet
1,1\O ,@\O PulkitSamrat\Eng @\O chintskap\Hin=चिंस्कप @\O anubhavsinha\Hin=अनूभावसिंघा @\O BenarasMedia\Hin=बनारास्मीडिया @\O ZeeMusicCompany\Eng @\O DeepakMukut\Eng Thankq\Hin=थन्क्क़ 
2,2\O ,"\O I\Eng also\Eng don\Eng ’\O t\Hin=त know\Hin=क्नो how\Eng ....\O should\Eng I\Eng give\Hin=गिव u\Eng numbers\Eng of\Eng some\Eng film\Eng makers\Eng to\Eng check\Eng on\Eng that\Eng mystery\Eng ???\O 
With\Eng love\Eng 
Aart\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O NOrKOqpEMh\Hin=नौरकूक्पेम्ह् \O "
3,3\O ,\O Whoa\Hin=व्होआ !\O That\Hin=शत ’\O s\Eng some\Eng love\Eng !\O Thank\Eng you\Eng everyone\Eng !\O 🙏🏼\O #\O MulkTeaser\Eng https\Eng ://\O t\Eng .\O co\Eng /\O 8K0bCCMBOf\Eng 
4,4\O ,"\O And\Hin=एंड on\Eng the\Eng other\Eng hand\Eng ......\O 
Bring\Eng out\Eng your\Hin=यर desi\Eng swag\Eng with\Hin=विद #\O GoodManDiLaaltain\Hin=गूद्मंडिलालतन !\O 
https\Eng ://\O t\Eng .\O co\Hin=को /\O mFTHkUgSxm\Hin=म्फ्थकुग्स्क्ष्म …\O https\Eng ://\O t\Eng .\O co\Eng /\O vr7JAuK4sA\Eng \O "
5,5,"मुल्क\O काग़ज़\O पे\O नक़्शे\O की\O लकीरौं\O से\O नहीं\O बँटता\O 
-\O Aarti\Hin=आरती Mohammed\Eng 

#\O MulkTeaser\Eng :\O 
https\Eng ://\O t\Eng .\O co\Eng /\O cg5vwLSGf0\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O LfQ3n0dl7B\Eng \O "
6,6\O ,@\O SnehaRajani\Hin=स्नेहरजनी @\O anubhavsinha\Hin=अनूभावसिंघा Arrreeeeee\Hin=अर्र्रीईईए yeh\Hin=यह hui\Hin=हूई na\Eng validation\Eng !\O 
7,7\O ,"\O And\Hin=एंड here\Eng ’\O s\Eng yours\Eng Truly\Eng !\O #\O Mulk\Eng 3rd\Eng August\Eng 2018\O 
Some\Eng films\Eng are\Eng not\Eng made\Eng just\Eng for\Eng screens\Eng .....\O they\Eng need\Eng to\Eng travel\Eng be\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O S0e6bgjrW1\Eng \O "
9,9\O ,@\O BajpayeeManoj\Hin=बजपायीमानोज @\O anubhavsinha\Hin=अनूभावसिंघा @\O chintskap\Hin=चिंस्कप The\Eng big\Eng question\Eng will\Eng be\Eng ...\O are\Hin=अरे WE\Hin=वी ready\Hin=रेडी for\Eng it\Eng ???😁😁😁😊\O 
10,10\O ,"\O What\Eng has\Eng fate\Eng in\Eng store\Eng for\Eng Murad\Hin=मुरद Ali\Eng Mohammed\Eng ?\O Find\Eng out\Eng in\Eng the\Eng teaser\Eng tomorrow\Eng 
#\O MyMulk\Eng .\O 

@\O chintskap\Eng @\O benarasmedia\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O WOQPiOlb5e\Eng \O "
11,11\O ,"\O Watch\Eng the\Eng making\Eng of\Eng the\Eng power-packed\Eng #\O SoormaAnthem\Eng here\Eng :\O https\Eng ://\O t\Eng .\O co\Eng /\O dtUNU9XtSB\Eng 
@\O sonypicsprodns\Hin=सोंआइपिक्स्प्रोड्न @\O ShankarEhsanLoy\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O XHfedvBVj7\Hin=क्सफ़ेद्वब्व्ज्7 \O "
12,12\O ,"\O RT\Eng @\O TheReel\Eng _\O in\Hin=इन :\O .@\O Taapsee\Hin=टापसी interview\Eng :\O ‘\O I\Eng am\Hin=आम an\Eng outsider\Eng in\Eng all\Eng possible\Eng ways\Eng and\Eng it\Eng is\Eng a\Eng big\Eng plus\Eng point\Eng ’\O https\Eng ://\O t\Eng .\O co\Eng /\O ji18kWx6S8\Eng 

“\O A\Eng person\Eng …\O "
13,13\O ,"\O RT\Eng @\O SrBachchan\Hin=शरबचचान :\O T\Hin=त 2848\O -\O To\Hin=तू SOORMA\Hin=सूर्मा ,\O my\Hin=मी best\Eng wishes\Eng ..\O to\Eng the\Eng director\Eng and\Eng friend\Eng Shaad\Hin=शाअद् ;\O to\Hin=तू my\Eng colleague\Eng Taapsee\Eng ;\O to\Eng a\Eng bright\Eng talent\Eng and\Eng ad\Eng …\O "
14,14\O ,@\O SrBachchan\Hin=शरबचचान Yayy\Hin=य्यी !!!\O And\Hin=एंड I\Eng shall\Eng thank\Eng u\Eng in\Eng person\Eng on\Eng set\Eng Today\Eng 😁😁😁\O 
16,16\O ,"\O Soaking\Eng up\Eng the\Eng Roman\Eng sun\Eng in\Eng this\Eng polka\Eng crop\Eng top\Eng from\Eng @\O mykoovs\Eng 
#\O TaapseeXKOOVS\Hin=टापसेक्स्कोव #\O KOOVSXYOU\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O juPqzWE3FF\Hin=जप्क़्ज़्वे3फ़ \O "
18,18\O ,"\O Piche\Hin=पीछे mere\Hin=मेर andhera\Hin=अंधेरा 
Aage\Hin=आगे andhi\Hin=अंधी aandhi\Hin=आँधी hai\Hin=हैं 
Maine\Hin=मैंने aisi\Hin=इसी aandhi\Hin=आँधी mein\Hin=मेइं 
Diya\Hin=दिया jalaaya\Hin=जलाया hai\Hin=हैं .....\O 
#\O SoormaAnthem\Hin=सूर्मान्थम out\Hin=आउट now\Eng .\O 
Read\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 9Dgz9uxxDA\Eng \O "
19,19\O ,\O This\Eng was\Eng fun\Eng !\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 5JIyAK3Dwj\Eng 
20,20\O ,\O RT\Eng @\O sonymusicindia\Eng :\O The\Eng inspiration\Eng has\Eng taken\Eng over\Eng the\Eng entire\Eng nation\Eng !\O #\O SoormaAnthem\Hin=सूर्मान्थम trending\Eng at\Eng No\Eng .\O #1.\O Watch\Eng it\Eng here\Eng :\O https\Eng ://\O t\Eng .\O co\Hin=को /\O pdKIvqr\Hin=प्ड्किव्क़्र …\O 
21,21\O ,"\O Dedicated\Eng to\Eng all\Eng the\Eng #\O Soormas\Eng in\Eng the\Eng world\Hin=वर्ल्ड !\O #\O SoormaAnthem\Hin=सूर्मान्थम out\Hin=आउट NOW\Hin=नो !\O https\Eng ://\O t\Eng .\O co\Hin=को /\O RffeSYQtaP\Hin=र्फ्फेस्य्कताप 

@\O sonypicsprodns\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O Xnl0bLyu3j\Eng \O "
22,22\O ,"\O Aint\Hin=अइँत no\Eng holiday\Eng without\Eng a\Eng fun\Eng pair\Eng of\Eng dungarees\Eng ,\O head\Eng to\Eng toe\Eng in\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O 2tcBhNOtrZ\Hin=2च्भ्नोत्र्ज for\Hin=फॉर my\Hin=मी Roman\Eng Holiday\Eng !…\O https\Eng ://\O t\Eng .\O co\Eng /\O oajTjkPC6k\Eng \O "
23,23\O ,"\O RT\Hin=अर्त @\O ShankarEhsanLoy\Hin=शंअकारहसनलौय :\O Only\Hin=ओन्ली a\Eng few\Eng hours\Eng to\Eng go\Eng for\Eng the\Eng launch\Eng of\Eng the\Hin=ते #\O SoormaAnthem\Hin=सूर्मान्थम ...\O How\Eng excited\Eng are\Eng you\Hin=यूं ?\O 
@\O diljitdosanjh\Hin=दिलजितडोसाँझ @\O taapsee\Hin=टापसी @\O IChitrangd\Hin=इचित्रांग्ड …\O "
24,24\O ,"\O RT\Eng @\O sonymusicindia\Hin=सोंइम्यूजिइंधिया :\O When\Eng in\Eng love\Eng ,\O the\Eng anticipation\Eng and\Eng nervousness\Eng is\Eng relatable\Eng ,\O isn\Eng ’\O t\Eng it\Eng ?\O Watch\Hin=वाच #\O IshqDiBaajiyaan\Hin=इश्क़्दीबाजियाँ here\Hin=हेरे :\O https\Eng ://\O t\Eng .\O co\Hin=को /\O kkbvoo\Hin=क्कब्वू …\O "
25,25\O ,@\O anubhavsinha\Hin=अनूभावसिंघा @\O chintskap\Eng @\O Neenagupta001\Eng @\O mrrajatkapoor\Eng @\O PracheePaandya\Hin=प्रचीपाँड्य @\O AshrutJain\Hin=आश्रुतजाऐन @\O 28singhvartika\Eng Ab\Hin=अब !\O Mujhe\Hin=मुझे laga\Hin=लग ho\Hin=ह gaya\Hin=गया tha\Hin=ता pehle\Hin=पहले 🤷🏻‍♀️\O 
27,27\O ,\O The\Eng first\Eng day\Eng of\Eng shoot\Eng ....\O the\Eng first\Eng scene\Eng for\Eng me\Hin=मे in\Eng the\Eng film\Eng ...\O the\Eng first\Eng time\Eng I\Eng played\Eng hockey\Eng ....\O and\Eng the\Eng first\Eng t\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O dtPmlGqkwc\Hin=ड्त्प्म्ल्ग्क़्कव्क 
30,30\O ,"\O RT\Eng @\O sonymusicindia\Eng :\O Inspiration\Eng in\Eng its\Eng highest\Eng form\Eng is\Eng all\Eng set\Eng to\Eng unleash\Eng itself\Eng !\O #\O SoormaAnthem\Eng releases\Eng on\Eng 25th\Eng June\Eng ,\O 2018.\O 

@\O DiljitDosanj\Hin=दिलजितडोसाँझ …\O "
