,0\O 
0\O ,"\O I\Eng just\Hin=जस्ट love\Eng how\Eng everyone\Eng is\Eng now\Eng praising\Eng @\O vickykaushal09\Eng 
#\O Sanju\Hin=संजू "\O 
1\O ,"\O I\Hin=इ AM\Hin=आम NOT\Hin=नोट A\Eng TERRORIST\Eng 
#\O sanjaydutt\Hin=संजय्दत्त 
@\O RajkumarHirani\Hin=राजकुमढ़िरनी has\Hin=हास once\Eng again\Eng done\Eng a\Eng fabulous\Eng job\Eng .\O 
And\Eng yes\Eng it's\Eng RK'S\Eng career\Eng best\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 73gsedQSm4\Eng "\O 
2\O ,"\O RT\Eng @\O RealVinduSingh\Hin=रिअल्विंदुसिंह :\O A\Hin=आ must\Eng watch\Eng movie\Eng !\O 👍\O 
Many\Eng mis-conceptions\Eng will\Eng be\Eng cleared\Eng ,\O one\Eng has\Eng to\Eng be\Hin=बे BOLD\Hin=बोल्ड enough\Eng to\Eng open\Eng ones\Eng life\Eng story\Eng and\Eng even\Eng …"\O 
3\O ,"\O RT\Eng @\O RanbirKapoorFC\Eng :\O #\O Sanju\Hin=संजू “\O Ranbir\Eng completely\Eng sheds\Eng his\Eng own\Eng identity\Eng and\Eng morphs\Eng into\Eng that\Eng of\Eng the\Eng character\Eng ,\O imbibing\Eng even\Eng the\Eng tiniest\Eng of\Eng ma\Hin=मा …"\O 
4\O ,\O RT\Hin=अर्त @\O aavishhkar\Hin=आविषकर :\O Its\Hin=इट INTERVAL\Hin=इंतराल ...\O And\Hin=एंड #\O SANJU\Hin=संजू has\Hin=हास been\Eng FANTASTIC\Hin=फन्तास्टिक so\Hin=सो far\Eng ...\O #\O RanbirKapoor\Eng Deserves\Eng NATIONAL\Hin=नैशनल AWARD\Hin=आवार्ड for\Eng this\Eng Movie\Eng and\Eng @\O vickyka\Hin=विक्यका …\O 
5\O ,"\O RT\Eng @\O boxoffice\Eng _\O stats\Eng :\O #\O MovieReview\Eng #\O Sanju\Eng 
Final\Eng Words\Eng -\O An\Eng Epic\Eng Masterpiece\Eng Written\Eng All\Eng Over\Eng .\O Film\Hin=फिल्म Has\Hin=हास Emotions\Eng ,\O Laughs\Eng ,\O Humours\Eng &\O amp\Hin=अम्प ;\O Everythi\Hin=एवराइथी …"\O 
6\O ,\O RT\Eng @\O rajbansal9\Eng :\O #\O sanju\Eng #\O Sanju\Hin=संजू opens\Eng to\Eng packed\Eng houses\Eng across\Eng India\Eng .\O #\O RanbirKapoor\Hin=रणविर्कपूर @\O RajkumarHirani\Hin=राजकुमढ़िरनी @\O duttsanjay\Hin=दत्ट्संजय @\O AnushkaSharma\Hin=अनष्काशर्मा @\O sonamakapoor\Hin=सोनमकपूर @…\O 
7\O ,\O RT\Eng @\O RoflGandhi\Hin=रोफ्लगँधी _:\O Sanjay\Hin=संजय Dutt\Eng didn't\Eng play\Eng himself\Eng in\Eng #\O Sanju\Eng because\Hin=बेक्Yज @\O RajkumarHirani\Hin=राजकुमढ़िरनी wasn't\Eng comfortable\Eng with\Eng the\Eng idea\Eng of\Eng real\Eng AK-47\Eng on\Eng set\Eng an\Eng …\O 
8\O ,"\O RT\Eng @\O twiish\Hin=टविश _:\O Ranbir\Hin=रणवीर Kapoor\Hin=कपूर is\Eng Kareena\Hin=करीना Kapoor\Eng Khan's\Eng brother\Eng ,\O so\Eng boycott\Eng #\O Sanju\Eng "\O 
9\O ,"\O RT\Hin=अर्त @\O BhadouriaPankaj\Hin=भदरायपंकाज् :\O Where\Hin=व्हीए is\Eng Ranbir\Eng Kapoor\Hin=कपूर ?\O 
I\Eng can\Eng only\Eng see\Eng Sanjay\Hin=संजय Dutt\Hin=दत्त here\Eng !\O 
Watching\Eng Sanju\Hin=संजू !\O 
#\O SanjuReview\Hin=संजुरिव्यू #\O sanju\Eng https\Eng ://\O t\Eng .\O co\Eng /\O J0JL2ejpDH\Eng "\O 
10\O ,"\O RT\Eng @\O iamtnvr\Eng :\O Congrats\Eng RK\Hin=र्क Fans\Hin=फZzस् ❤\O 
#\O Sanju\Hin=संजू Is\Hin=इस Getting\Eng Humongous\Eng response\Eng from\Eng Theaters\Eng and\Eng Audience\Eng :)\EMT 

Multiplex\Eng tickets\Eng are\Eng selling\Eng like\Eng Hot\Eng …"\O 
11\O ,\O RT\Eng @\O MuskanRKF\Eng :\O #\O Sanju\Eng is\Hin=इस so\Eng truly\Eng amazing\Eng .\O U\Eng wll\Eng laugh\Eng and\Eng cry\Eng at\Eng the\Eng same\Eng time\Eng u\Eng wll\Eng be\Eng proud\Eng of\Eng Ranbir\Eng Kapoor\Eng and\Eng Sanjay\Eng Dutt\Hin=दत्त .\O Nt\Hin=Mत even\Eng sing\Eng …\O 
12\O ,#\O Sanju\Eng is\Hin=इस so\Eng realistic\Eng that\Eng Interval\Eng in\Eng the\Eng movie\Eng is\Eng named\Eng as\Eng parole\Eng .\O 
13\O ,#\O Sanju\Hin=संजू what\Hin=वाअत a\Eng film\Eng .....\O what\Eng an\Eng actor\Eng ....\O what\Eng a\Eng story\Eng ...\O what\Hin=वाअत A\Eng director\Eng ...\O #\O blockbuster\Eng 
14\O ,\O RT\Eng @\O arvinnsandhu\Hin=अरविन्न्संधु _:\O #\O SANJU\Hin=संजू IS\Hin=इस LITERALLY\Hin=लीएराली THE\Hin=ते BEST\Hin=बेस्ट MOVIE\Hin=मूवी I'VE\Hin=इ'वी WATCHED\Hin=वाछेड़ .\O May\Eng not\Eng have\Eng tears\Eng but\Eng the\Eng inner\Eng me\Eng cried\Eng at\Eng every\Eng scene\Eng of\Eng the\Eng movie\Eng .…\O 
15\O ,"\O RT\Eng @\O rishteycineplex\Hin=रिश्तेआइसिनेप्लेक्स :\O Aapko\Hin=आपको toh\Hin=तोह pata\Hin=पटा hi\Hin=ही hoga\Hin=होग ke\Hin=क Baba\Hin=बाबा ne\Hin=ने dusri\Hin=दूसरी baar\Hin=बार nasha\Hin=नाशा kab\Hin=काब kiya\Hin=किया tha\Hin=ता !\O 
Toh\Hin=तोह jaldi\Hin=जळी humein\Hin=हमें apne\Hin=अपने jawaab\Hin=जवाब likhiye\Hin=लिखिये ,\O bhulna\Hin=भुलना nahi\Hin=नाही !…"\O 
16\O ,\O RT\Hin=अर्त @\O AnushkaSharma\Hin=अनष्काशर्मा :\O Playing\Hin=प्लेआइंग @\O RajkumarHirani\Hin=राजकुमढ़िरनी sir\Hin=सिअर ’\O s\Eng spirit\Eng character\Eng in\Eng #\O Sanju\Hin=संजू was\Eng so\Eng fun\Hin=फन !\O This\Eng movie\Eng is\Eng his\Eng labour\Eng of\Eng love\Eng ...\O go\Eng watch\Hin=वाच it\Eng guy\Eng …\O 
17\O ,"\O RT\Eng @\O IndiaHistorypic\Eng :\O c\Eng .\O 1968\O ::\O Sanjay\Hin=संजय Dutt\Hin=दत्त With\Eng Father\Eng Sunil\Eng Dutt\Eng ,\O Mother\Eng Nargis\Eng and\Eng Sisters\Eng Priya\Eng and\Eng Namrata\Hin=नम्राता #\O Sanju\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O AnuD\Hin=अनुड …"\O 
18\O ,"\O RT\Eng @\O varoun93\Eng :\O Manish\Eng Pandey\Eng giving\Eng tough\Eng competition\Eng to\Eng Lord\Eng Stuart\Eng Binny\Eng 

#\O IREvIND\Eng #\O PlayPokerOnPokerlion\Eng #\O TheFaultInOurStars\Eng #\O PMSMA\Eng #\O VJSa\Hin=व्जसा …"\O 
19\O ,"\O just\Eng finished\Eng watching\Eng #\O Sanju\Hin=संजू what\Hin=वाअत a\Eng brilliant\Eng story\Eng ,\O kuch\Hin=कुछ tyo\Hin=त्यो log\Hin=लाग kahenge\Hin=कहेंगे logoka\Hin=लोगोका kaam\Hin=काम hai\Hin=हैं kainaa\Hin=काइना 
kudos\Eng to\Hin=तू ranbi\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O eTe7590nh2\Eng "\O 
20\O ,"\O RT\Eng @\O taran\Hin=तरन _\O adarsh\Eng :\O #\O OneWordReview\Eng ...\O 
#\O Sanju\Eng :\O M-A-S-T-E-R-P-I-E-C-E\Eng .\O 
Rating\Eng :\O ⭐️⭐️⭐️⭐️½\O 
Powerful\Eng ...\O Engaging\Eng ...\O Emotional\Eng ...\O Compelling\Eng ...\O Raj\Hin=राज …"\O 
21\O ,"\O RT\Eng @\O RanbirKapoorFC\Eng :\O #\O Sanju\Hin=संजू “\O Ranbir\Hin=रणवीर gives\Eng you\Eng reason\Eng enough\Eng to\Eng buy\Eng a\Eng ticket\Eng .\O Easily\Eng the\Eng best\Eng actor\Eng of\Eng his\Eng generation\Eng ,\O he\Eng inhabits\Eng Dutt\Eng wholl\Eng …"\O 
22\O ,"#\O SanjuTrailer\Eng what\Eng a\Eng #\O acting\Eng Mind\Eng blowing\Eng and\Eng the\Eng life\Eng story\Eng of\Eng #\O SanjayDutt\Eng ♥\O 
#\O RanbirKapoor\Eng #\O superb\Eng #\O sanju\Eng "\O 
23\O ,\O RT\Eng @\O iamsrk\Hin=इयाम्स्र्क _\O brk\Hin=ब्र्क :\O I\Hin=इ didn't\Eng get\Eng tickets\Eng for\Eng #\O Sanju\Eng .\O Tickets\Eng are\Eng unavailable\Eng till\Eng sunday\Hin=सुंदय .\O Will\Eng watch\Eng on\Eng Tuesday\Eng now\Eng .\O This\Eng is\Eng the\Eng 1st\Eng time\Eng i\Eng re\Hin=री …\O 
24\O ,"#\O AWARDS\Eng MID\Eng #2018\O 
#\O BEST\Hin=बेस्ट #\O FILM\Hin=फिल्म -\O #\O VidhuVinodChopra\Hin=वीधुविनोड्छोपड़ा 
BEST\Eng #\O DIRECTOR\Hin=दिरिक्टर -\O #\O RajKumarHirani\Hin=राजकुमढ़िरनी 
BEST\Hin=बेस्ट #\O SUPPORTING\Eng #\O Actor\Eng -…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O OyzBU1heoO\Hin=ओय्ज्बु1हिऊ "\O 
25\O ,\O RT\Eng @\O iamalokanand\Eng :\O After\Eng watching\Eng #\O Sanju\Hin=संजू i\Hin=इ want\Hin=वान्त to\Eng say\Eng one\Eng word\Eng :\O -\O #\O RanbirKapoor\Eng is\Eng new\Eng king\Eng of\Eng bollywood\Hin=बोलीवुड in\Eng term\Eng of\Eng fan\Hin=फ़न FOLLOWING\Hin=फॉलोइंग and\Eng boxof\Eng …\O 
